kappa,tau,s,value
1,4,16,2014.255351
0.9,1024,4096,1680.540179
0.6,1024,4096,1328.191297
0.6,16,4,2859.44042
0.7,1,4096,1313.263743
0.5,64,16384,1271.869567
0.6,64,4,2630.424468
1,1,1,2547.784743
1,16,64,1558.076377
0.5,256,16384,1278.123799
0.8,256,4096,1361.320422
0.6,256,16,1800.42916
0.5,4,64,2084.897678
0.8,64,256,1349.81201
1,16,4,2079.802409
0.5,1,4,3624.167804
0.9,16,16,1749.505296
0.8,1,4096,1310.06086
1,64,1024,1343.801912
0.7,1,64,1983.587762
0.5,4,16,2804.74862
0.7,256,64,1427.856381
0.9,16,1024,1317.263697
0.5,256,1,5000.332116
1,1024,4,1637.661866
0.8,1024,4096,1537.873629
0.9,16,4,2040.531678
0.5,64,1,5022.511473
1,4,256,1472.690781
1,64,16,1572.944521
0.8,1024,4,1528.555961
0.8,64,16,1631.072354
0.9,64,16,1541.968527
0.9,1024,256,1468.342464
0.7,4,1,2968.382913
0.9,1,64,1886.883404
0.8,4,16,2101.979941
0.6,1,16,2601.345619
0.9,1024,64,1506.415675
0.7,16,16384,1271.57459
1,1,4,2524.250165
1,1024,16384,2250.711024
0.8,4,1,2566.382537
0.6,64,64,1630.248431
0.8,16,16,1836.733098
0.5,16,16384,1266.167382
0.5,1024,256,1364.836274
0.6,1,1024,1435.221761
0.6,4,4,3053.489799
0.6,64,16384,1268.070557
1,4,16384,1293.198126
1,4,64,1718.817531
0.6,1024,4,2045.705842
0.5,1,256,1730.222585
0.7,1024,1024,1369.038389
0.9,64,64,1454.543818
0.6,256,256,1353.926401
0.9,4,4,2240.094436
0.9,1024,1024,1521.80336
0.9,16,64,1537.363365
1,1024,256,1612.24448
0.6,1024,1,2918.561304
0.8,1024,64,1447.394204
1,16,4096,1295.76713
0.9,16,4096,1284.176859
0.5,64,64,1786.323249
0.8,1,256,1590.643012
0.6,1,1,3722.019016
0.5,64,16,2346.008412
0.7,16,256,1419.439444
1,64,64,1495.508178
0.9,256,16384,1568.119023
0.7,256,1024,1309.209494
1,256,16,1593.476294
0.6,16,16384,1267.214011
0.7,1024,4,1711.022236
1,64,4096,1356.962017
0.8,16,4,2175.249552
0.9,4,64,1706.756992
1,256,1024,1450.749101
1,1024,16,1696.944579
0.7,1024,64,1413.755921
0.7,4,16384,1273.72673
0.6,4,4096,1299.255183
0.6,4,1024,1382.85864
0.9,1,1,2364.737107
0.9,64,16384,1383.792566
0.8,1,16,2271.844459
0.7,256,1,2566.918453
0.9,256,1,1865.777546
0.8,64,4096,1296.58097
0.9,256,1024,1392.699949
0.7,64,64,1505.616635
0.9,1,16384,1287.551166
0.6,16,4096,1285.295193
0.5,1,4096,1329.484556
1,16,1,2369.474345
0.9,256,256,1391.712439
0.8,1024,1,1787.887829
0.9,64,256,1358.717854
0.8,4,16384,1273.680399
0.8,16,16384,1277.089752
0.6,1,4096,1317.818664
0.8,4,1024,1343.23478
0.5,256,4096,1274.208686
0.8,1024,1024,1420.742784
0.5,1024,16384,1321.59124
0.7,1024,1,2204.569258
0.7,1024,16384,1524.871729
0.6,1024,1024,1317.814555
0.7,64,256,1359.43776
0.9,4,16,2006.496131
0.8,1,4,2477.453345
0.5,1024,64,1523.244259
0.8,256,1,2077.487352
0.6,16,1024,1334.947039
1,256,16384,1697.459511
0.8,256,16,1504.07904
0.5,4,1024,1413.822886
0.5,64,4096,1278.813005
0.5,1,64,2227.20182
1,1,16384,1301.175618
0.5,4,256,1643.68152
0.8,16,1,2560.52704
0.5,16,1024,1364.872251
0.8,16,64,1572.391232
1,1024,1024,1738.719119
0.8,1024,16,1509.744747
0.9,1024,1,1654.893494
1,16,1024,1335.264417
0.9,256,64,1453.060437
0.7,16,64,1668.761813
0.8,16,1024,1309.582372
0.6,256,1,3294.021457
1,1024,4096,1847.090224
0.7,64,16,1784.594764
0.9,1,256,1582.721013
0.7,256,256,1343.241802
0.5,64,256,1457.530339
0.6,1024,64,1438.727854
0.6,256,4,2360.980123
0.6,4,64,1943.349721
0.9,16,16384,1282.164335
1,4,4,2306.935465
0.5,256,16,2088.040327
0.6,4,16,2482.891469
0.7,64,1,2810.881943
0.7,4,16,2259.310536
0.9,256,4,1601.761693
0.5,64,4,3198.95632
0.8,1,64,1917.207978
0.6,1,16384,1272.839987
0.5,16,4,3346.584734
0.9,1024,4,1513.69603
1,4,1024,1358.437431
1,1,16,2244.860585
1,256,1,1855.132826
0.9,256,16,1509.932842
1,16,16384,1302.230813
0.5,4,1,5149.513805
1,64,1,2109.894998
0.6,64,1,3619.232213
0.8,256,4,1713.158518
0.9,64,1024,1318.388432
0.7,256,16,1594.416105
0.6,1,4,3126.891155
0.6,4,16384,1270.425851
0.8,16,256,1385.504627
1,64,256,1388.593292
0.8,256,256,1347.62479
0.6,16,64,1786.51868
0.9,64,4096,1318.135676
0.5,1,1,5258.112826
0.6,1,256,1660.049798
0.7,64,1024,1303.411361
0.9,1,16,2210.134257
0.5,1024,4096,1296.897775
0.6,4,1,3747.871323
0.5,16,1,5229.18116
0.5,1024,16,1880.39947
0.7,256,4096,1314.93794
0.9,1024,16,1586.64756
1,16,256,1404.940141
0.7,1,256,1619.226174
0.8,256,64,1408.231244
0.9,4,16384,1280.796294
0.8,256,1024,1330.546637
0.5,4,16384,1270.589627
0.7,16,4096,1281.538285
0.8,64,16384,1320.508949
0.9,1,1024,1405.254246
0.9,16,1,2341.462081
0.7,64,16384,1282.492457
0.7,256,4,1951.044824
1,1,256,1593.512913
1,256,4096,1588.528832
0.9,1,4,2429.684277
0.5,1,16384,1271.753365
1,1024,64,1579.06171
0.7,16,4,2487.987431
0.5,4,4096,1309.276414
0.8,4,4096,1289.574825
0.9,4,4096,1294.339616
0.5,1024,1024,1302.023694
0.6,1024,256,1351.998671
0.5,1024,4,2542.238814
0.8,4,256,1478.045732
1,4,4096,1304.324411
0.9,64,1,2118.723891
0.6,64,16,2033.429989
1,1,64,1913.104369
0.5,256,1024,1307.56128
0.6,1024,16384,1393.614637
1,16,16,1750.590736
0.5,256,64,1626.654117
0.9,256,4096,1439.558928
0.8,1,1,2548.705258
0.7,1024,256,1363.001016
0.9,4,256,1463.333299
0.8,1,16384,1281.177353
0.6,1,64,2086.676125
1,1,4096,1323.44587
0.7,4,4,2711.405961
0.6,256,1024,1302.341384
0.7,1,16384,1276.73856
0.6,256,64,1501.526137
0.7,4,64,1843.379712
0.5,256,256,1401.072001
0.7,1,4,2729.267232
0.8,4,4,2384.413805
0.6,256,16384,1310.790773
0.6,64,1024,1309.290893
0.6,4,256,1568.538127
0.7,64,4096,1276.16192
0.7,1024,4096,1397.052266
0.8,16,4096,1280.470261
0.8,1,1024,1406.231488
0.6,16,256,1473.258879
0.8,64,1024,1304.882655
0.7,4,4096,1291.760503
0.7,1,16,2422.500695
0.8,64,1,2347.846308
0.9,4,1,2452.668607
0.5,1024,64,1520.06445
0.8,1024,256,1389.175687
0.7,256,16384,1377.931876
0.5,1024,1,4432.51151
0.9,16,256,1381.783824
0.9,4,1024,1345.175995
0.6,1024,16,1626.743743
0.9,64,4,1789.856352
0.6,256,4096,1290.394505
1,256,64,1503.488973
1,4,1,2562.137775
1,1,1024,1416.648457
0.7,1,1,2975.404068
0.5,16,256,1549.807417
0.7,16,1,2961.50974
0.9,1024,16384,1929.981674
1,1024,1,1693.890539
0.9,1,4096,1314.611328
0.5,16,16,2612.878741
0.5,4,4,3481.699285
0.5,256,4,2939.348266
0.7,4,1024,1360.104102
0.5,1,1024,1460.865658
0.8,1024,16384,1670.162786
0.5,16,64,1969.25674
0.7,1024,16,1505.384479
0.5,64,1024,1329.959506
0.8,256,16384,1442.360685
0.7,16,16,2035.164063
0.7,16,1024,1318.230944
0.8,64,4,1943.102596
0.7,64,4,2250.809494
0.6,64,4096,1271.714717
0.6,16,1,3770.110326
1,256,256,1417.792032
1,256,4,1620.128845
0.6,64,256,1395.590972
0.7,1,1024,1414.752908
1,64,4,1812.145883
0.7,4,256,1521.322055
0.5,16,4096,1292.698578
0.5,1,16,2836.012122
1,64,16384,1433.882412
0.8,64,64,1454.02874
0.8,4,64,1752.565517
0.6,16,16,2277.597145